order_id,order_date,order_status,payment_status,seller_id,item_id,line_item_id,title,quantity,line_item_price,order_total,delivery_cost,total_due_seller,currency
08-13452-95051,2025-08-14 19:24:46+00:00,FULFILLED,PAID,luxmielstore,226867086972,10074121033308,Luxmiel Organics Rosemary Mint Scalp & Hair Strengthening Oil Infused w/...,1,9.0,9.0,0.0,7.23,USD
10-13728-37960,2025-10-21 02:54:43+00:00,NOT_STARTED,FULLY_REFUNDED,luxmielstore,226991664030,10076493562610,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,0.0,USD
13-13729-11126,2025-10-22 04:48:14+00:00,FULFILLED,PAID,luxmielstore,226991664030,10077793531613,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,8.18,USD
04-13996-06853,2025-12-17 17:01:32+00:00,FULFILLED,PAID,luxmielstore,226991664030,10077706828604,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,7.99,7.99,0.0,6.41,USD
10-13991-20120,2025-12-18 15:05:02+00:00,FULFILLED,PAID,luxmielstore,226991664030,10078124565610,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,7.99,7.99,0.0,6.36,USD
20-13991-26123,2025-12-22 10:54:44+00:00,FULFILLED,PAID,luxmielstore,226991664030,10077221512920,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,7.99,7.99,0.0,6.48,USD
08-14009-03525,2025-12-22 17:02:03+00:00,FULFILLED,PAID,luxmielstore,226991664030,10077296199308,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",2,15.98,14.38,0.0,11.65,USD
13-14003-95617,2025-12-23 00:11:25+00:00,FULFILLED,PAID,luxmielstore,226991664030,10079502099513,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,7.99,7.99,0.0,6.36,USD
04-14029-40473,2025-12-27 02:05:23+00:00,FULFILLED,PAID,luxmielstore,226991664030,10077897338904,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,8.99,8.99,0.0,7.22,USD
26-14006-50749,2025-12-29 05:38:48+00:00,FULFILLED,PAID,luxmielstore,226991664030,10077195914526,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,8.18,USD
22-14013-09807,2025-12-29 12:17:17+00:00,FULFILLED,PAID,luxmielstore,226991664030,10077626289322,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,8.18,USD
07-14039-17334,2025-12-30 11:48:34+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082503440807,"Divine Drop Organic Rosemary Oil for Hair Growth,100% Pure Mint Scalp & Hair Oil",1,9.99,9.99,0.0,7.95,USD
